another_name,another_name_kana,post_id,prefecture_id
,,0000000,30
田井,ﾀｲ,6440041,30
浜ノ瀬,ﾊﾏﾉｾ,6440042,30
三尾,ﾐｵ,6440045,30
吉原,ﾖｼﾊﾗ,6440043,30
和田,ﾜﾀﾞ,6440044,30
