municipalitie_id,municipalitie,municipalitie_kana,prefecture_id
1,新潟市北区,ﾆｲｶﾞﾀｼｷﾀｸ,15
2,新潟市東区,ﾆｲｶﾞﾀｼﾋｶﾞｼｸ,15
3,新潟市中央区,ﾆｲｶﾞﾀｼﾁｭｳｵｳｸ,15
4,新潟市江南区,ﾆｲｶﾞﾀｼｺｳﾅﾝｸ,15
5,新潟市秋葉区,ﾆｲｶﾞﾀｼｱｷﾊｸ,15
6,新潟市南区,ﾆｲｶﾞﾀｼﾐﾅﾐｸ,15
7,新潟市西区,ﾆｲｶﾞﾀｼﾆｼｸ,15
8,新潟市西蒲区,ﾆｲｶﾞﾀｼﾆｼｶﾝｸ,15
9,長岡市,ﾅｶﾞｵｶｼ,15
10,三条市,ｻﾝｼﾞｮｳｼ,15
11,柏崎市,ｶｼﾜｻﾞｷｼ,15
12,新発田市,ｼﾊﾞﾀｼ,15
13,小千谷市,ｵﾁﾞﾔｼ,15
14,加茂市,ｶﾓｼ,15
15,十日町市,ﾄｵｶﾏﾁｼ,15
16,見附市,ﾐﾂｹｼ,15
17,村上市,ﾑﾗｶﾐｼ,15
18,燕市,ﾂﾊﾞﾒｼ,15
19,糸魚川市,ｲﾄｲｶﾞﾜｼ,15
20,妙高市,ﾐｮｳｺｳｼ,15
21,五泉市,ｺﾞｾﾝｼ,15
22,上越市,ｼﾞｮｳｴﾂｼ,15
23,阿賀野市,ｱｶﾞﾉｼ,15
24,佐渡市,ｻﾄﾞｼ,15
25,魚沼市,ｳｵﾇﾏｼ,15
26,南魚沼市,ﾐﾅﾐｳｵﾇﾏｼ,15
27,胎内市,ﾀｲﾅｲｼ,15
28,北蒲原郡聖籠町,ｷﾀｶﾝﾊﾞﾗｸﾞﾝｾｲﾛｳﾏﾁ,15
29,西蒲原郡弥彦村,ﾆｼｶﾝﾊﾞﾗｸﾞﾝﾔﾋｺﾑﾗ,15
30,南蒲原郡田上町,ﾐﾅﾐｶﾝﾊﾞﾗｸﾞﾝﾀｶﾞﾐﾏﾁ,15
31,東蒲原郡阿賀町,ﾋｶﾞｼｶﾝﾊﾞﾗｸﾞﾝｱｶﾞﾏﾁ,15
32,三島郡出雲崎町,ｻﾝﾄｳｸﾞﾝｲｽﾞﾓｻﾞｷﾏﾁ,15
33,南魚沼郡湯沢町,ﾐﾅﾐｳｵﾇﾏｸﾞﾝﾕｻﾞﾜﾏﾁ,15
34,中魚沼郡津南町,ﾅｶｳｵﾇﾏｸﾞﾝﾂﾅﾝﾏﾁ,15
35,刈羽郡刈羽村,ｶﾘﾜｸﾞﾝｶﾘﾜﾑﾗ,15
36,岩船郡関川村,ｲﾜﾌﾈｸﾞﾝｾｷｶﾜﾑﾗ,15
37,岩船郡粟島浦村,ｲﾜﾌﾈｸﾞﾝｱﾜｼﾏｳﾗﾑﾗ,15
