municipalitie_id,municipalitie,municipalitie_kana,prefecture_id
1,青森市,ｱｵﾓﾘｼ,2
2,弘前市,ﾋﾛｻｷｼ,2
3,八戸市,ﾊﾁﾉﾍｼ,2
4,黒石市,ｸﾛｲｼｼ,2
5,五所川原市,ｺﾞｼｮｶﾞﾜﾗｼ,2
6,十和田市,ﾄﾜﾀﾞｼ,2
7,三沢市,ﾐｻﾜｼ,2
8,むつ市,ﾑﾂｼ,2
9,つがる市,ﾂｶﾞﾙｼ,2
10,平川市,ﾋﾗｶﾜｼ,2
11,東津軽郡平内町,ﾋｶﾞｼﾂｶﾞﾙｸﾞﾝﾋﾗﾅｲﾏﾁ,2
12,東津軽郡今別町,ﾋｶﾞｼﾂｶﾞﾙｸﾞﾝｲﾏﾍﾞﾂﾏﾁ,2
13,東津軽郡蓬田村,ﾋｶﾞｼﾂｶﾞﾙｸﾞﾝﾖﾓｷﾞﾀﾑﾗ,2
14,東津軽郡外ヶ浜町,ﾋｶﾞｼﾂｶﾞﾙｸﾞﾝｿﾄｶﾞﾊﾏﾏﾁ,2
15,西津軽郡鰺ヶ沢町,ﾆｼﾂｶﾞﾙｸﾞﾝｱｼﾞｶﾞｻﾜﾏﾁ,2
16,西津軽郡深浦町,ﾆｼﾂｶﾞﾙｸﾞﾝﾌｶｳﾗﾏﾁ,2
17,中津軽郡西目屋村,ﾅｶﾂｶﾞﾙｸﾞﾝﾆｼﾒﾔﾑﾗ,2
18,南津軽郡藤崎町,ﾐﾅﾐﾂｶﾞﾙｸﾞﾝﾌｼﾞｻｷﾏﾁ,2
19,南津軽郡大鰐町,ﾐﾅﾐﾂｶﾞﾙｸﾞﾝｵｵﾜﾆﾏﾁ,2
20,南津軽郡田舎館村,ﾐﾅﾐﾂｶﾞﾙｸﾞﾝｲﾅｶﾀﾞﾃﾑﾗ,2
21,北津軽郡板柳町,ｷﾀﾂｶﾞﾙｸﾞﾝｲﾀﾔﾅｷﾞﾏﾁ,2
22,北津軽郡鶴田町,ｷﾀﾂｶﾞﾙｸﾞﾝﾂﾙﾀﾏﾁ,2
23,北津軽郡中泊町,ｷﾀﾂｶﾞﾙｸﾞﾝﾅｶﾄﾞﾏﾘﾏﾁ,2
24,上北郡野辺地町,ｶﾐｷﾀｸﾞﾝﾉﾍｼﾞﾏﾁ,2
25,上北郡七戸町,ｶﾐｷﾀｸﾞﾝｼﾁﾉﾍﾏﾁ,2
26,上北郡六戸町,ｶﾐｷﾀｸﾞﾝﾛｸﾉﾍﾏﾁ,2
27,上北郡横浜町,ｶﾐｷﾀｸﾞﾝﾖｺﾊﾏﾏﾁ,2
28,上北郡東北町,ｶﾐｷﾀｸﾞﾝﾄｳﾎｸﾏﾁ,2
29,上北郡六ヶ所村,ｶﾐｷﾀｸﾞﾝﾛｯｶｼｮﾑﾗ,2
30,上北郡おいらせ町,ｶﾐｷﾀｸﾞﾝｵｲﾗｾﾁｮｳ,2
31,下北郡大間町,ｼﾓｷﾀｸﾞﾝｵｵﾏﾏﾁ,2
32,下北郡東通村,ｼﾓｷﾀｸﾞﾝﾋｶﾞｼﾄﾞｵﾘﾑﾗ,2
33,下北郡風間浦村,ｼﾓｷﾀｸﾞﾝｶｻﾞﾏｳﾗﾑﾗ,2
34,下北郡佐井村,ｼﾓｷﾀｸﾞﾝｻｲﾑﾗ,2
35,三戸郡三戸町,ｻﾝﾉﾍｸﾞﾝｻﾝﾉﾍﾏﾁ,2
36,三戸郡五戸町,ｻﾝﾉﾍｸﾞﾝｺﾞﾉﾍﾏﾁ,2
37,三戸郡田子町,ｻﾝﾉﾍｸﾞﾝﾀｯｺﾏﾁ,2
38,三戸郡南部町,ｻﾝﾉﾍｸﾞﾝﾅﾝﾌﾞﾁｮｳ,2
39,三戸郡階上町,ｻﾝﾉﾍｸﾞﾝﾊｼｶﾐﾁｮｳ,2
40,三戸郡新郷村,ｻﾝﾉﾍｸﾞﾝｼﾝｺﾞｳﾑﾗ,2
