municipalitie_id,municipalitie,municipalitie_kana,prefecture_id
1,甲府市,ｺｳﾌｼ,19
2,富士吉田市,ﾌｼﾞﾖｼﾀﾞｼ,19
3,都留市,ﾂﾙｼ,19
4,山梨市,ﾔﾏﾅｼｼ,19
5,大月市,ｵｵﾂｷｼ,19
6,韮崎市,ﾆﾗｻｷｼ,19
7,南アルプス市,ﾐﾅﾐｱﾙﾌﾟｽｼ,19
8,北杜市,ﾎｸﾄｼ,19
9,甲斐市,ｶｲｼ,19
10,笛吹市,ﾌｴﾌｷｼ,19
11,上野原市,ｳｴﾉﾊﾗｼ,19
12,甲州市,ｺｳｼｭｳｼ,19
13,中央市,ﾁｭｳｵｳｼ,19
14,西八代郡市川三郷町,ﾆｼﾔﾂｼﾛｸﾞﾝｲﾁｶﾜﾐｻﾄﾁｮｳ,19
15,南巨摩郡早川町,ﾐﾅﾐｺﾏｸﾞﾝﾊﾔｶﾜﾁｮｳ,19
16,南巨摩郡身延町,ﾐﾅﾐｺﾏｸﾞﾝﾐﾉﾌﾞﾁｮｳ,19
17,南巨摩郡南部町,ﾐﾅﾐｺﾏｸﾞﾝﾅﾝﾌﾞﾁｮｳ,19
18,南巨摩郡富士川町,ﾐﾅﾐｺﾏｸﾞﾝﾌｼﾞｶﾜﾁｮｳ,19
19,中巨摩郡昭和町,ﾅｶｺﾏｸﾞﾝｼｮｳﾜﾁｮｳ,19
20,南都留郡道志村,ﾐﾅﾐﾂﾙｸﾞﾝﾄﾞｳｼﾑﾗ,19
21,南都留郡西桂町,ﾐﾅﾐﾂﾙｸﾞﾝﾆｼｶﾂﾗﾁｮｳ,19
22,南都留郡忍野村,ﾐﾅﾐﾂﾙｸﾞﾝｵｼﾉﾑﾗ,19
23,南都留郡山中湖村,ﾐﾅﾐﾂﾙｸﾞﾝﾔﾏﾅｶｺﾑﾗ,19
24,南都留郡鳴沢村,ﾐﾅﾐﾂﾙｸﾞﾝﾅﾙｻﾜﾑﾗ,19
25,南都留郡富士河口湖町,ﾐﾅﾐﾂﾙｸﾞﾝﾌｼﾞｶﾜｸﾞﾁｺﾏﾁ,19
26,北都留郡小菅村,ｷﾀﾂﾙｸﾞﾝｺｽｹﾞﾑﾗ,19
27,北都留郡丹波山村,ｷﾀﾂﾙｸﾞﾝﾀﾊﾞﾔﾏﾑﾗ,19
